"Year","Quarter","Group","Unit","Inflation Deflator","Adult Population","Working Age Population","Household Population","Real Total Factor Income","Real Factor Income Share","Real Factor Income Per Unit Growth","Real Factor Income Per Unit","Real Factor Income Threshold"
"2004","3","Top 1%","adult_equal_split","0.6012015933333333","2123148.538316142","1762449.201030974","1557515.7751227387","2991522031667.32","0.16924865631821998","1.6639210874136177","1409002.7040877133","512158.2322362084"
"2004","4","Top 1%","adult_equal_split","0.6058627366666666","2128708.8369553364","1766951.225985191","1561904.1819527522","3019643336806.793","0.1702869652131906","1.6819391230459046","1418532.814062889","512641.53975549346"
"2005","1","Top 1%","adult_equal_split","0.6107057966666666","2135135.7626287467","1772177.4303916488","1567798.707529692","3075188127779.75","0.1719428927157405","1.7230506757145383","1440277.5606145181","515400.63484259136"
"2005","2","Top 1%","adult_equal_split","0.6151015966666668","2142015.6050975067","1777777.2754077495","1574532.3834343988","3138543583938.2866","0.17400682918417507","1.7702251170361791","1465229.093788706","522610.7262484732"
"2005","3","Top 1%","adult_equal_split","0.6207100933333334","2148177.6383966985","1782774.9658895861","1580835.9347087683","3200418612744.1914","0.1761154447919251","1.8167358749708051","1489829.5911565477","529369.2232166076"
"2005","4","Top 1%","adult_equal_split","0.6258108233333334","2154112.18500248","1787576.9968737408","1587076.6446571394","3295421301037.0366","0.17910898270633815","1.892358731383519","1529828.0767272306","540083.9998002417"
"2006","1","Top 1%","adult_equal_split","0.6302445733333334","2160572.999166229","1792936.2726413563","1592491.2525686717","3386684031136.6235","0.18111193118258684","1.96357051124198","1567493.4530995039","550996.9695042694"
"2006","2","Top 1%","adult_equal_split","0.6357469966666667","2167220.5114055495","1798512.7514944233","1597405.9801159382","3431736070983.864","0.18303944074733927","1.993782920084285","1583473.4181055778","549661.2520205564"
"2006","3","Top 1%","adult_equal_split","0.6401883166666668","2173068.0478669545","1803425.3403027626","1601731.061908086","3464708131416.813","0.1844650897655508","2.0144137237226767","1594385.474867071","550269.5904699201"
"2006","4","Top 1%","adult_equal_split","0.6424771566666666","2178630.201525171","1808101.0500620957","1605845.7836058398","3462577109217.644","0.18419615967240188","2.0048684440824234","1589336.7799609287","548162.9480285576"
